OpCode	ImagePtPair	Index	Lx	Ly	Rx	Ry
npz6.10	0	0	1336.07619	1065.37246	878.93333	1000.76749
npz6.10	0	1	1443.35238	1058.05869	977.67619	991.01580
npz6.10	1	0	643.21810	495.95531	382.55185	501.98883
npz6.10	1	1	237.73727	384.93855	0.00000	448.89385
npz6.10	2	0	1071.62791	722.81564	773.55123	680.58101
npz6.10	2	1	831.47706	494.74860	487.54243	488.71508
npz6.10	3	0	797.68699	771.08380	465.82024	767.46369
npz6.10	3	1	381.34507	752.98324	95.33627	778.32402
npz6.10	4	0	613.08219	416.84956	338.08219	438.88496
npz6.10	4	1	614.57659	439.71681	339.57659	459.64602
npz6.10	5	0	628.62391	390.37168	351.83064	406.99115
npz6.10	5	1	583.66625	504.07080	305.41220	526.30973
npz6.10	6	0	615.04857	429.45133	340.08219	450.18584
npz6.10	6	1	535.54670	449.00885	272.23661	479.67257
npz6.10	7	0	614.74969	429.75221	340.38107	449.58407
npz6.10	7	1	530.76463	499.25664	282.09963	526.30973
npz6.10	8	0	615.04857	429.15044	340.67995	449.88496
npz6.10	8	1	428.01245	482.30088	196.86177	521.34513
npz6.10	9	0	663.00125	481.88496	395.29141	493.89381
npz6.10	9	1	242.52677	400.62832	18.82939	473.87611
npz6.10	10	0	744.94521	725.28319	401.71357	720.89381
npz6.10	10	1	742.25529	752.36283	402.61021	745.56637
npz6.10	11	0	743.15193	695.19469	404.10461	690.80531
npz6.10	11	1	732.43711	808.20354	408.19925	800.70796
npz6.10	12	0	744.38107	738.12389	405.21046	733.91150
npz6.10	12	1	672.65006	812.74336	357.98755	811.23894
npz6.10	13	0	744.38107	737.82301	404.91158	733.61062
npz6.10	13	1	670.25903	769.41593	340.95143	770.31858
npz6.10	14	0	744.67995	737.82301	405.50934	733.61062
npz6.10	14	1	561.15193	802.30088	272.06849	809.52212
npz6.10	15	0	797.28892	771.10619	468.18555	757.55752
npz6.10	15	1	383.69116	751.80531	102.51557	777.04425
npz6.10	16	0	1068.01494	672.08850	728.50685	630.70796
npz6.10	16	1	1052.17435	689.53982	713.56289	649.36283
npz6.10	17	0	1082.36115	653.43363	741.95641	610.24779
npz6.10	17	1	1018.99875	730.46018	682.47945	686.37168
npz6.10	18	0	1058.15193	682.61947	718.34496	640.63717
npz6.10	18	1	993.29514	672.38938	656.77584	639.73451
npz6.10	19	0	1057.55417	682.31858	718.64384	639.73451
npz6.10	19	1	962.80946	700.97345	642.72852	668.92035
npz6.10	20	0	1057.85305	681.71681	718.04608	640.63717
npz6.10	20	1	889.10461	643.12389	566.73848	622.53982
npz6.10	21	0	1069.81694	736.53097	744.97883	693.50442
npz6.10	21	1	783.93151	514.61062	456.18555	516.67257
npz6.10	22	0	620.17978	417.64072	344.15730	439.80838
npz6.10	22	1	608.31461	438.83832	334.80899	456.69461
npz6.10	23	0	1049.20225	684.93613	712.11236	646.10778
npz6.10	23	1	1067.80899	673.53493	729.10112	631.44910
npz6.10	24	0	862.85355	792.80447	599.77373	765.05028
npz6.10	24	1	540.64111	730.05587	277.56128	739.70950
npz6.10	25	0	867.70370	785.92982	603.07407	756.38596
npz6.10	25	1	548.37037	764.12281	263.29630	775.49123
npz6.10	26	0	837.48148	751.57895	560.77778	729.29825
npz6.10	26	1	772.29630	813.31579	507.14815	793.12281
npz6.10	27	0	838.07407	751.57895	560.48148	728.70175
npz6.10	27	1	785.92593	776.92982	503.59259	758.82456
npz6.10	28	0	837.18519	750.98246	560.48148	729.29825
npz6.10	28	1	681.14815	806.12281	415.92593	796.66667
npz6.10	29	0	840.22222	727.33333	564.22222	702.42105
npz6.10	29	1	829.85185	805.77193	554.81481	784.73684
npz6.10	30	0	834.47191	739.77645	556.77528	718.13174
npz6.10	30	1	833.39326	760.40719	556.77528	738.21956
npz6.10	31	0	535.81395	608.17877	392.20616	620.24581
npz6.10	31	1	133.95349	527.32961	15.68825	593.69832
npz6.10	32	0	400.65368	687.82123	375.31113	701.09497
npz6.10	32	1	56.71904	651.62011	78.44123	703.50838
npz6.10	33	0	1242.99183	574.39106	1133.17410	489.92179
npz6.10	33	1	948.53551	532.15642	821.82275	489.92179
npz6.10	34	0	1340.74167	451.30726	1025.76996	371.66480
npz6.10	34	1	1909.13891	543.01676	1548.30924	390.97207
npz6.10	35	0	1578.47894	699.88827	1539.86172	576.80447
npz6.10	35	1	1288.84978	676.96089	1246.61219	581.63128
npz6.10	36	0	896.00000	509.52596	696.07619	476.61400
npz6.10	36	1	430.32381	218.19413	157.25714	276.70429
npz6.10	37	0	639.59774	491.12849	594.94657	470.61453
npz6.10	37	1	384.96543	452.51397	363.24324	469.40782
npz6.10	38	0	506.85104	553.87709	572.01760	543.01676
npz6.10	38	1	273.94092	553.87709	349.96857	574.39106
npz6.13	0	0	1291.74684	369.31384	650.12658	371.74353
npz6.13	1	0	1816.24921	497.89831	1324.34838	501.55932
npz6.13	2	0	1530.62937	816.40678	1172.99428	832.27119
npz6.13	2	1	1609.96821	834.71186	1253.55372	845.69492
npz6.13	3	0	1259.27619	746.00451	774.09524	752.09932
npz6.13	3	1	1221.48571	721.62528	719.23810	722.84424
npz6.13	4	0	707.94660	784.67797	518.75397	779.79661
npz6.13	5	0	167.22187	594.30508	65.91227	595.52542
npz6.13	5	1	109.85378	580.88136	9.76478	577.22034
npz6.13	6	0	1888.62351	380.11173	1440.90509	375.28492
npz6.13	6	1	1207.99497	575.59777	883.36895	581.63128
npz6.13	7	0	1596.58077	593.69832	1409.52860	599.73184
npz6.13	7	1	1192.30673	610.59218	1005.25456	611.79888
npz6.13	8	0	556.32935	354.77095	445.30484	358.39106
npz6.13	8	1	232.91012	218.41341	119.47203	240.13408
npz6.13	9	0	1520.55311	580.42458	1352.80955	584.04469
npz6.13	9	1	1185.06600	631.10615	989.56631	631.10615
npz6.13	10	0	743.29787	361.55083	549.80851	367.58392
npz6.13	10	1	741.06383	381.16312	547.57447	387.83924
npz6.13	11	0	748.40426	338.08038	555.55319	342.82742
npz6.13	11	1	725.53191	438.03310	529.70213	446.35461
npz6.13	12	0	741.80851	372.12293	548.21277	378.83688
npz6.13	12	1	682.44681	385.94799	485.65957	394.26950
npz6.13	13	0	741.80851	372.12293	548.21277	379.15839
npz6.13	13	1	658.51064	432.24586	467.78723	438.95981
npz6.13	14	0	782.78723	417.77305	590.93617	420.58865
npz6.13	14	1	368.21277	301.37589	169.23404	315.34515
npz6.13	15	0	1138.08511	605.01182	1054.72340	602.61702
npz6.13	15	1	1118.61702	671.88652	1035.57447	676.88652
npz6.13	16	0	1131.70213	628.48227	1048.34043	631.55319
npz6.13	16	1	1084.14894	638.77069	996.00000	639.59102
npz6.13	17	0	1132.02128	628.48227	1048.34043	631.55319
npz6.13	17	1	1074.25532	665.77778	990.57447	669.49173
npz6.13	18	0	1160.74468	660.95508	1076.74468	661.45390
npz6.13	18	1	899.70213	583.01891	816.89362	587.98109
npz6.13	19	0	745.50000	365.52675	552.38889	370.84774
npz6.13	19	1	738.55556	379.79835	545.44444	386.79835
npz6.14	0	0	1587.13568	213.34821	407.63819	186.83036
npz6.14	1	0	847.16530	1018.45810	30.16970	932.78212
npz6.14	2	0	719.48688	782.72388	278.02728	726.89552
npz6.14	2	1	591.05037	811.94030	128.94019	731.42910
npz6.14	3	0	1537.19626	166.24585	1579.06542	202.12625
npz6.14	3	1	1739.36449	112.42525	1783.62617	155.48173
npz6.14	4	0	1506.09346	437.74086	1442.69159	491.56146
npz6.14	4	1	1556.33645	438.93688	1495.32710	486.77741
npz6.14	5	0	1495.32710	598.00664	1494.13084	571.69435
npz6.14	6	0	1484.56075	435.34884	1497.71963	483.18937
npz6.14	6	1	1534.80374	424.58472	1553.94393	478.40532
npz6.14	7	0	168.27565	489.38133	11.31524	411.75072
npz6.14	7	1	505.40025	436.16479	385.70766	352.02842
npz6.14	8	0	888.01682	517.81385	698.61569	501.20697
npz6.14	8	1	1154.37914	455.98203	1049.36768	472.29758
npz6.14	9	0	1163.38189	204.83256	1153.56987	211.63503
npz6.14	9	1	859.45612	207.26405	854.13448	211.63503
npz6.14	10	0	1034.51686	656.59753	744.48274	641.70832
npz6.14	10	1	1387.66194	384.37152	1107.49636	411.96668
npz6.14	11	0	1871.76762	239.55603	1776.32468	302.19745
npz6.14	11	1	1521.64844	247.52438	1458.47276	284.46494
npz6.14	12	0	1509.31924	449.86854	1469.12533	494.37018
npz6.14	12	1	1393.04169	285.61857	1370.18442	318.83558
npz6.14	13	0	1904.07564	520.49371	1785.25555	594.94104
npz6.14	13	1	1511.58780	581.84796	1394.36164	594.94104
npz6.14	14	0	872.50786	21.72067	955.77624	25.34078
npz6.14	14	1	592.53300	12.06704	687.86926	13.27374
npz6.14	15	0	1413.98131	309.76744	1242.91589	337.27575
npz6.14	15	1	1734.57944	210.49834	1530.01869	254.75083
npz6.14	16	0	363.24324	343.91061	540.64111	313.74302
npz6.14	16	1	126.71276	292.02235	345.14142	261.85475
npz6.14	17	0	1025.03738	261.80731	984.07477	270.07641
npz6.14	17	1	846.79439	194.53156	820.18692	189.04651
npz6.14	18	0	872.51402	362.87043	818.09346	357.08638
npz6.14	18	1	719.99065	345.52824	654.20561	328.38206
npz6.14	19	0	4.78505	441.32890	186.61682	386.31229
npz6.14	19	1	413.90654	464.05316	552.67290	431.76080
npz6.14	20	0	1642.46729	356.41196	1632.89720	415.01661
npz6.14	20	1	1851.81308	210.49834	1854.20561	269.10299
npz6.14	21	0	1249.43925	545.89037	1242.57009	579.67110
npz6.14	21	1	1387.00935	478.61462	1400.77570	521.66445
npz6.14	22	0	1157.92523	528.84718	1184.25234	552.16279
npz6.14	22	1	1313.14019	452.00332	1338.57009	489.97010
npz6.14	23	0	1125.02804	489.37874	1102.00935	510.00332
npz6.14	23	1	1253.92523	455.59136	1246.15888	483.09302
npz6.14	24	0	1672.37383	264.31894	1662.80374	312.15947
npz6.14	24	1	1835.06542	191.36213	1861.38318	245.18272
npz6.14	25	0	1384.07477	501.12957	1410.39252	545.38206
npz6.14	25	1	1238.13084	491.56146	1257.27103	525.04983
npz6.14	26	0	351.70093	457.92027	318.80374	410.94684
npz6.14	26	1	83.14019	545.22924	65.19626	468.05648
npz6.14	27	0	1862.57944	319.33555	1863.77570	394.68439
npz6.14	27	1	1677.15888	350.43189	1684.33645	418.60465
npz6.14	28	0	1678.82353	518.82353	1645.88235	591.76471
npz6.14	28	1	1904.70588	482.35294	1907.05882	563.52941
npz6.14	29	0	1669.98131	151.89369	1642.46729	194.95017
npz6.14	29	1	1557.53271	127.97342	1522.84112	160.26578
npz6.14	30	0	1125.67290	294.53156	813.81308	293.23588
npz6.14	30	1	1182.19626	246.09302	869.43925	245.09635
npz6.14	31	0	1620.05607	116.31229	1436.51402	147.40864
npz6.14	31	1	1663.71963	84.61794	1495.72897	115.71429
npz6.14	32	0	691.71028	345.64784	478.37383	315.41196
npz6.14	32	1	822.70093	425.18272	589.02804	402.42193
npz6.14	33	0	607.92523	454.82724	560.87850	425.58472
npz6.14	33	1	689.27103	406.68771	646.11215	382.22924
npz6.14	34	0	715.36449	198.53821	636.63551	184.56146
npz6.14	34	1	812.26168	197.34219	725.75701	190.24252
npz6.14	35	0	1195.06542	216.47841	1035.96262	223.65449
npz6.14	35	1	1070.65421	224.85050	913.94393	228.43854
npz6.14	36	0	876.85981	155.48173	630.42991	147.10963
npz6.14	36	1	759.62617	20.33223	513.19626	7.17608
npz6.14	37	0	819.43925	188.97010	482.09346	167.44186
npz6.14	37	1	967.77570	198.53821	645.98131	182.99003
npz6.14	38	0	1786.61682	253.31229	1669.68224	308.87043
npz6.14	38	1	1739.36449	247.63123	1635.58879	298.40532
npz6.14	39	0	852.93458	267.90698	540.71028	252.35880
npz6.14	39	1	718.95327	160.26578	429.45794	136.34551
npz6.14	40	0	628.03738	135.14950	541.90654	121.99336
npz6.14	40	1	559.85047	28.70432	490.46729	14.35216
npz6.14	41	0	702.20561	299.00332	500.03738	277.47508
npz6.14	41	1	576.59813	212.89037	378.01869	184.18605
npz6.14	42	0	1403.21495	106.44518	1311.10280	126.77741
npz6.14	42	1	1550.35514	57.40864	1467.81308	81.32890
npz6.14	43	0	1257.27103	157.87375	1265.64486	179.40199
npz6.14	43	1	1196.26168	149.50166	1207.02804	166.24585
npz6.14	44	0	1020.07477	201.64452	783.24299	198.08638
npz6.14	44	1	1171.10280	200.74751	922.90654	203.76744
npz6.14	45	0	1325.81308	491.96346	1154.39252	520.26578
npz6.14	45	1	1234.29907	497.04651	1062.28037	517.87375
npz6.14	46	0	1187.04673	545.48505	1031.44860	561.80066
npz6.14	46	1	1222.93458	505.11960	1070.92523	523.22924
npz6.14	47	0	853.31776	311.00997	730.06542	300.70764
npz6.14	47	1	755.52336	286.19269	643.63551	270.80731
npz6.14	48	0	1092.56075	619.71429	919.35514	626.87043
npz6.14	48	1	1146.09346	607.75415	971.99065	618.49834
npz6.14	49	0	1748.75131	333.25746	1527.75551	389.57463
npz6.14	49	1	1706.94648	375.57090	1488.97272	427.35448
npz6.14	50	0	1357.75701	508.30565	1156.78505	562.12625
npz6.14	51	0	1149.60748	375.54817	1059.88785	391.09635
npz6.14	51	1	1037.15888	361.19601	942.65421	363.58804
npz6.14	52	0	1034.70093	235.26246	1068.12150	245.13953
