OpCode	ImagePtPair	FilenameLeft	FrameLeft	FilenameRight	FrameRight	Time	Period	PeriodTime	X	Y	Z	sX	sY	sZ	RMS	Range	Direction	Family	Genus	Species	Code	Number	Stage	Activity	Comment	Attribute9	Attribute10
SWC-BV-001	0	20241024_BRUV 3_L19_GX010062.MP4	2159	20241024_BRUV 3_R20_GX010078.MP4	2009	1.20064		-1.00000	100.88326	91.85558	-954.82619	0.63893	0.62893	2.42648	3.13332	964.52472	8.18141								Sync		
SWC-BV-001	3	20241024_BRUV 3_L19_GX010062.MP4	26015	20241024_BRUV 3_R20_GX010078.MP4	25865	14.46723	1	7.32788	462.40714	-111.27192	-1813.22644	2.38750	1.23436	8.70500	3.11283	1874.56446	14.68058	Labridae	Austrolabrus	maculatus	37384025	1	AD	Passing			
SWC-BV-001	6	20241024_BRUV 3_L19_GX010062.MP4	27520	20241024_BRUV 3_R20_GX010078.MP4	27370	15.30418	1	8.16482	-264.02691	-189.51342	-2478.44887	2.20676	1.92065	15.65250	1.08264	2499.66684	7.42823	Labridae	Eupetrichthys	angustipes	37384105	1	AD	Passing			
SWC-BV-001	9	20241024_BRUV 3_L19_GX010062.MP4	30536	20241024_BRUV 3_R20_GX010078.MP4	30386	16.98141	1	9.84205	1564.71574	394.16927	-1946.79346	7.89182	2.35894	10.16446	4.82017	2528.57856	39.67155	Carangidae	Pseudocaranx	spp		2	AD	Passing			
SWC-BV-001	60	20241024_BRUV 3_L19_GX010062.MP4	119505	20241024_BRUV 3_R20_GX010078.MP4	119355	66.45806	1	59.31870	4183.05829	1673.46895	-6009.05126	66.71576	27.05336	97.32982	4.43421	7510.47082	36.88852	Unknown	Unknown	Unknown	0	1	AD	Passing			
SWC-BV-002	0	20241025_BRUV 10_L33_GX010073.MP4	6907	20241025_BRUV 10_R34_GX010070.MP4	6680	3.84106		-1.00000	12.59091	-24.10149	-432.65142	0.29524	0.27744	0.51709	0.65618	433.50509	3.52811								sync		
SWC-BV-002	2	20241025_BRUV 10_L33_GX010073.MP4	17511	20241025_BRUV 10_R34_GX010070.MP4	17284	9.73806	1	3.71093	2221.46521	383.59478	-3343.15847	18.32822	3.77247	28.05926	3.39969	4032.21542	34.00557	Gerreidae	Parequula	elongata	37349023	1	AD	Passing			
SWC-BV-002	4	20241025_BRUV 10_L33_GX010073.MP4	32226	20241025_BRUV 10_R34_GX010070.MP4	31999	17.92124	1	11.89410	2265.77939	81.42859	-2953.98875	15.74652	1.89138	20.97673	3.37884	3723.76642	37.50976	Neosebastidae	Neosebastes	bougainvillii	37287004	1	AD	Passing			
SWC-BV-002	6	20241025_BRUV 10_L33_GX010073.MP4	42361	20241025_BRUV 10_R34_GX010070.MP4	42134	23.55742	1	17.53029	521.62162	-321.73587	-1296.16192	1.82856	1.33774	4.32653	0.13856	1433.74991	25.26578	Muraenidae	Gymnothorax	woodwardi	37060054	1	AD	Passing			
SWC-BV-002	12	20241025_BRUV 10_L33_GX010073.MP4	61762	20241025_BRUV 10_R34_GX010070.MP4	61535	34.34653	1	28.31940	2767.12926	469.43508	-3986.60482	26.87355	5.17122	39.38226	1.94089	4875.48886	35.15944	Labridae	Coris	auricularis	37384088	1	AD	Passing			
SWC-BV-003	0	20241027_BRUV 8_L29_GX010016.MP4	1689	20241027_BRUV 8_R30_GX010062.MP4	1517	0.93927		-1.00000	22.79861	-19.72615	-1098.89064	0.68758	0.67719	3.05726	4.10500	1099.30411	1.33456								Sync		
SWC-BV-003	15	20241027_BRUV 8_L29_GX010016.MP4	80116	20241027_BRUV 8_R30_GX010062.MP4	79944	44.55340	1	40.17514	-159.50235	-228.50436	-1342.87196	0.97359	1.14559	4.55000	6.14993	1371.48108	11.38068	Muraenidae	Gymnothorax	woodwardi	37060054	1	AD	Passing			
SWC-BV-004	0	20241023_BRUV 3_L19_GX010059.MP4	3031	20241023_BRUV 3_R20_GX010075.MP4	2772	1.68557		-1.00000	4.44471	59.03358	-1045.92969	0.65231	0.65794	2.87065	0.96655	1047.60376	3.31243								Sync		
SWC-BV-004	25	20241023_BRUV 3_L19_GX010059.MP4	61900	20241023_BRUV 3_R20_GX010075.MP4	61641	34.42328	1	25.39203	2559.44236	450.65670	-4026.70044	28.00172	5.53223	44.82387	8.57511	4792.51010	32.85076	Unknown	Unknown	Unknown	0	1	AD	Passing			
SWC-BV-004	26	20241023_BRUV 3_L19_GX010059.MP4	65814	20241023_BRUV 3_R20_GX010075.MP4	65555	36.59990	1	27.56865	193.06239	60.92066	-4589.96256	3.53777	2.83436	53.39044	0.19044	4594.42496	2.54841	Urolophidae	Trygonoptera	ovalis	37038016	1	AD	Passing			
SWC-BV-004	27	20241023_BRUV 3_L19_GX010059.MP4	65814	20241023_BRUV 3_R20_GX010075.MP4	65555	36.59990	1	27.56865	-414.14109	47.53052	-3449.99066	4.11568	2.10723	30.20308	9.70563	3475.08382	6.89832	Urolophidae	Trygonoptera	ovalis	37038016	1	AD	Passing			
SWC-BV-004	29	20241023_BRUV 3_L19_GX010059.MP4	67365	20241023_BRUV 3_R20_GX010075.MP4	67106	37.46243	1	28.43118	-142.30486	45.47769	-943.01469	0.67066	0.58712	2.34745	0.57131	954.77516	9.02466	Sepiidae	Sepia	apama	23607001	1	AD	Passing			
SWC-BV-004	33	20241023_BRUV 3_L19_GX020059.MP4	19330	20241023_BRUV 3_R20_GX020075.MP4	19071	50.25576	1	41.22452	-77.62953	50.41939	-1874.69617	1.19678	1.15561	8.99697	3.58945	1876.98007	2.86724	Myliobatidae	Myliobatis	tenuicaudatus	37039001	1	AD	Passing			
