OpCode	ImagePtPair	Index	Lx	Ly	Rx	Ry
SWC-BV-001	0	0	1230.97587	433.20896	856.24344	421.11940
SWC-BV-001	1	0	855.05561	530.93284	831.48164	526.27612
SWC-BV-001	1	1	802.67366	527.91045	780.10703	520.23134
SWC-BV-001	2	0	1444.72403	419.97761	1385.17209	422.02239
SWC-BV-001	2	1	1362.12172	435.08955	1303.57712	437.13433
SWC-BV-001	3	0	1267.24029	604.47761	1168.52046	616.56716
SWC-BV-001	4	0	1079.21721	435.27612	880.98111	431.69403
SWC-BV-001	4	1	987.54879	423.18657	792.33473	421.61940
SWC-BV-001	5	0	1013.96747	621.39552	820.03358	621.09701
SWC-BV-001	5	1	943.45331	637.51493	750.52676	630.16418
SWC-BV-001	6	0	817.23190	633.79104	784.93809	625.02239
SWC-BV-001	7	0	1406.56243	331.80597	1321.18048	325.71642
SWC-BV-001	7	1	1372.31270	335.83582	1279.87933	330.75373
SWC-BV-001	8	0	1239.13536	148.09701	1128.87828	135.00000
SWC-BV-001	8	1	1195.81952	139.02985	1078.51102	125.93284
SWC-BV-001	9	0	1799.11857	318.35821	1843.44176	312.31343
SWC-BV-001	10	0	1592.61280	437.05970	1501.95173	440.20149
SWC-BV-001	10	1	1546.27492	439.07463	1448.56243	441.20896
SWC-BV-001	11	0	1489.86359	321.94030	1408.07555	315.24627
SWC-BV-001	11	1	1440.50367	350.14925	1355.69360	344.46269
SWC-BV-001	12	0	1003.98111	463.11940	1018.05561	461.00000
SWC-BV-001	12	1	961.67261	424.83582	972.72508	423.72388
SWC-BV-001	13	0	702.40714	678.05970	615.27597	663.15672
SWC-BV-001	13	1	515.04092	683.09701	427.90976	659.12687
SWC-BV-001	14	0	1664.13431	264.96269	1495.99580	245.74627
SWC-BV-001	14	1	1519.07660	326.41791	1369.07030	319.29104
SWC-BV-001	15	0	946.23085	321.15672	747.03253	316.91791
SWC-BV-001	15	1	860.60651	237.53731	684.57712	235.31343
SWC-BV-001	16	0	1630.89192	231.64179	1478.81217	218.61940
SWC-BV-001	16	1	1487.84890	290.07463	1332.74711	278.05970
SWC-BV-001	17	0	844.88038	541.79104	633.04722	535.43284
SWC-BV-001	17	1	733.06506	537.76119	523.24659	531.40299
SWC-BV-001	18	0	839.21721	826.11940	522.81217	806.29104
SWC-BV-001	18	1	701.21091	789.85075	407.97482	767.00000
SWC-BV-001	19	0	1059.72403	228.60448	942.45960	220.63433
SWC-BV-001	19	1	971.07765	246.73881	861.87198	241.79104
SWC-BV-001	20	0	1603.69360	185.37313	1457.62854	167.23881
SWC-BV-001	20	1	1491.87828	226.67910	1338.76180	214.58955
SWC-BV-001	21	0	1618.80378	176.30597	1482.81217	152.12687
SWC-BV-001	21	1	1513.03253	211.56716	1356.89402	196.45522
SWC-BV-001	22	0	879.62854	605.95522	761.70934	600.81343
SWC-BV-001	22	1	796.01889	645.24627	675.07765	638.08955
SWC-BV-001	23	0	1461.99475	321.95522	1273.51836	314.69403
SWC-BV-001	23	1	1310.89297	365.27612	1119.39454	360.02985
SWC-BV-001	24	0	1020.86359	726.33582	732.90031	719.48507
SWC-BV-001	24	1	916.09969	647.75373	640.22455	638.88806
SWC-BV-001	25	0	1050.07660	650.77612	715.77545	650.97761
SWC-BV-001	25	1	909.04827	697.11940	563.66632	684.22388
SWC-BV-001	26	0	1143.83421	365.61940	858.69465	361.86567
SWC-BV-001	26	1	1010.86464	389.79851	755.94544	387.05224
SWC-BV-001	27	0	1225.61385	178.32090	1126.48898	168.24627
SWC-BV-001	27	1	1148.04827	209.55224	1041.87198	202.50000
SWC-BV-001	28	0	1315.97377	208.54478	1173.84995	196.45522
SWC-BV-001	28	1	1216.24659	195.44776	1072.10808	183.35821
SWC-BV-001	29	0	980.18678	514.76866	642.08395	508.97015
SWC-BV-001	29	1	857.29066	333.42537	523.21721	329.64179
SWC-BV-001	30	0	1390.74607	397.03731	1228.45226	393.64925
SWC-BV-001	30	1	1269.86464	386.96269	1100.51941	386.59701
SWC-BV-001	31	0	1710.47219	284.96269	1682.26653	277.68657
SWC-BV-001	31	1	1629.88458	327.27612	1599.66422	325.03731
SWC-BV-001	32	0	1199.68730	317.27612	899.65897	313.56716
SWC-BV-001	32	1	1062.68835	330.37313	777.77020	331.70149
SWC-BV-001	33	0	1079.14271	473.26866	931.37880	475.04478
SWC-BV-001	33	1	918.97482	438.00746	759.12277	438.77612
SWC-BV-001	34	0	1755.80273	799.92537	1435.86254	846.30597
SWC-BV-001	34	1	1231.98321	773.73134	905.99895	784.85075
SWC-BV-001	35	0	951.26758	650.56716	717.76076	647.94030
SWC-BV-001	35	1	591.64533	700.94030	349.07240	675.14179
SWC-BV-001	36	0	550.29801	565.59701	539.54774	548.96269
SWC-BV-001	36	1	313.57188	589.77612	304.83631	566.08955
SWC-BV-001	37	0	1003.06542	399.95021	792.40187	395.15353
SWC-BV-001	37	1	1003.34579	417.72614	792.40187	412.92946
SWC-BV-001	38	0	1003.39252	409.65560	792.12150	404.46473
SWC-BV-001	38	1	1075.72897	426.30290	869.22430	423.08714
SWC-BV-001	39	0	1003.39252	409.65560	792.40187	403.90041
SWC-BV-001	39	1	1083.57944	473.98755	884.22430	471.44398
SWC-BV-001	40	0	1003.11215	409.93776	792.26168	404.85477
SWC-BV-001	40	1	1145.46729	459.25726	975.00935	456.74689
SWC-BV-001	41	0	960.37383	460.26556	748.57944	454.93361
SWC-BV-001	41	1	1255.97196	395.41079	1115.57944	390.91701
SWC-BV-001	42	0	992.62617	364.65560	789.21495	360.10788
SWC-BV-001	42	1	1036.65421	481.91286	810.24299	478.89627
SWC-BV-001	43	0	1240.85519	392.79104	1098.39979	382.85821
SWC-BV-001	43	1	942.68101	464.32090	734.74816	454.38806
SWC-BV-001	44	0	1231.00000	387.56543	1147.66667	385.69136
SWC-BV-001	44	1	1237.66667	455.73333	1152.00000	460.23951
SWC-BV-001	45	0	1235.66667	410.73580	1148.33333	411.88395
SWC-BV-001	45	1	1195.66667	434.91358	1106.33333	436.73333
SWC-BV-001	46	0	1235.66667	410.73580	1147.66667	411.88395
SWC-BV-001	46	1	1199.66667	468.82963	1114.66667	469.26420
SWC-BV-001	47	0	1236.00000	410.40000	1149.00000	411.84198
SWC-BV-001	47	1	1126.66667	477.92099	1032.66667	480.98025
SWC-BV-001	48	0	1271.66667	432.82469	1188.00000	435.01728
SWC-BV-001	48	1	1014.66667	459.17531	927.00000	456.52593
SWC-BV-001	49	0	1548.33333	292.23704	1109.66667	281.75062
SWC-BV-001	49	1	1546.00000	317.08642	1103.66667	310.29383
SWC-BV-001	50	0	1558.33333	265.69136	1125.66667	250.85679
SWC-BV-001	50	1	1560.00000	402.64198	1120.66667	406.07654
SWC-BV-001	51	0	1547.33333	304.58765	1106.66667	295.59506
SWC-BV-001	51	1	1472.33333	357.98025	1039.66667	352.68148
SWC-BV-001	52	0	1547.33333	304.92346	1107.00000	295.25926
SWC-BV-001	52	1	1479.00000	427.54815	1056.66667	429.83951
SWC-BV-001	53	0	1547.00000	304.82469	1107.00000	295.30370
SWC-BV-001	53	1	1344.66667	437.48148	950.33333	440.16790
SWC-BV-001	54	0	1631.33333	343.14568	1186.00000	338.06420
SWC-BV-001	54	1	1137.00000	388.61481	750.66667	387.42963
SWC-BV-001	55	0	478.48898	829.14179	233.70409	797.14925
SWC-BV-001	55	1	331.41658	840.22388	69.50682	791.10448
SWC-BV-001	56	0	1802.14061	375.42537	1414.75341	368.97761
SWC-BV-001	56	1	1573.47324	378.44776	1212.27702	374.01493
SWC-BV-001	57	0	651.54040	517.77612	612.51836	511.85821
SWC-BV-001	57	1	559.87198	536.91791	520.84995	524.95522
SWC-BV-001	58	0	509.05561	807.25373	358.61490	771.05970
SWC-BV-001	58	1	413.35782	723.63433	278.02728	689.45522
SWC-BV-001	59	0	1030.31899	665.11194	854.01784	662.52239
SWC-BV-001	59	1	650.54984	377.98507	522.60126	369.35075
SWC-BV-001	60	0	1613.76705	237.76119	1813.22141	219.62687
SWC-BV-002	0	0	1541.23820	594.40299	453.30535	596.41791
SWC-BV-002	1	0	1584.18812	584.58416	1363.98020	609.89109
SWC-BV-002	1	1	1498.04950	580.12871	1293.88119	603.65347
SWC-BV-002	2	0	1683.56436	403.96040	1771.48515	424.15842
SWC-BV-002	3	0	1159.00990	742.57426	1016.28713	759.35644
SWC-BV-002	3	1	1204.15842	730.09901	1065.59406	749.55446
SWC-BV-002	4	0	1802.37624	501.38614	1892.67327	528.71287
SWC-BV-002	5	0	1652.67327	172.27723	1539.80198	163.96040
SWC-BV-002	5	1	1499.40594	476.43564	1386.53465	496.63366
SWC-BV-002	6	0	1535.04950	805.54455	1303.36634	845.94059
SWC-BV-002	7	0	1462.57426	236.43564	1308.11881	237.62376
SWC-BV-002	7	1	1548.11881	134.25743	1420.99010	130.69307
SWC-BV-002	8	0	1167.92079	750.89109	1000.39604	767.52475
SWC-BV-002	8	1	1322.37624	785.34653	1134.65347	807.92079
SWC-BV-002	9	0	1547.19802	176.22772	1562.26733	172.56436
SWC-BV-002	9	1	1639.57426	132.56436	1659.09901	122.36634
SWC-BV-002	10	0	1289.10891	806.73267	1038.41584	834.05941
SWC-BV-002	10	1	1505.34653	760.39604	1285.54455	796.03960
SWC-BV-002	11	0	1328.61386	337.81188	1067.16832	348.28713
SWC-BV-002	11	1	1517.52475	374.94059	1239.44554	386.90099
SWC-BV-002	12	0	1701.98020	402.55446	1825.54455	419.32673
SWC-BV-002	13	0	664.24752	367.90099	580.22772	374.67327
SWC-BV-002	13	1	791.37624	448.09901	703.49505	452.19802
SWC-BV-002	14	0	1202.46535	428.28713	1115.60396	438.13861
SWC-BV-002	14	1	1328.70297	395.01980	1230.55446	408.43564
SWC-BV-002	15	0	1058.72277	585.03960	1017.93069	596.06931
SWC-BV-002	15	1	939.61386	603.75248	889.61386	609.13861
SWC-BV-002	16	0	1600.27723	256.78218	1567.24752	258.26733
SWC-BV-002	16	1	1758.29703	220.54455	1755.26733	220.54455
SWC-BV-002	17	0	150.89109	809.10891	19.00990	765.14851
SWC-BV-002	17	1	396.83168	768.71287	273.26733	741.38614
SWC-BV-002	18	0	1474.17822	409.44554	1416.55446	421.14851
SWC-BV-002	18	1	1655.66337	366.67327	1613.48515	379.56436
SWC-BV-002	19	0	1257.77228	554.30693	1144.02970	572.71287
SWC-BV-002	19	1	1455.00000	505.29703	1350.16832	526.37624
SWC-BV-002	20	0	1155.03960	331.91089	996.16832	342.92079
SWC-BV-002	20	1	1343.35644	280.52475	1182.70297	286.18812
SWC-BV-002	21	0	1075.46535	714.32673	975.05941	724.32673
SWC-BV-002	21	1	1219.52475	656.10891	1121.79208	672.64356
SWC-BV-002	22	0	958.21782	233.31683	895.49505	240.65347
SWC-BV-002	22	1	1050.59406	231.53465	987.87129	240.65347
SWC-BV-002	23	0	908.91089	416.63366	835.46535	425.10891
SWC-BV-002	23	1	1067.82178	392.27723	991.70297	403.72277
SWC-BV-002	24	0	1090.56436	467.25743	1075.24752	478.81188
SWC-BV-002	24	1	1353.43564	367.75248	1355.64356	376.63366
SWC-BV-002	25	0	943.36634	613.06931	796.03960	624.95050
SWC-BV-002	25	1	1198.81188	617.82178	1015.84158	638.01980
SWC-BV-002	26	0	1205.94059	564.35644	935.04950	573.86139
SWC-BV-002	26	1	1517.22772	615.44554	1279.60396	633.26733
SWC-BV-002	27	0	1419.80198	578.61386	1257.02970	591.68317
SWC-BV-002	27	1	1637.22772	376.63366	1470.89109	376.63366
SWC-BV-003	0	0	1144.34418	542.01493	817.96432	568.20896
SWC-BV-003	1	0	1130.92550	673.32836	1013.56873	711.79104
SWC-BV-003	1	1	1107.25289	673.07463	990.65163	709.25373
SWC-BV-003	2	0	838.08709	619.65672	773.27282	633.43284
SWC-BV-003	2	1	811.89612	631.32836	747.08185	643.32836
SWC-BV-003	3	0	1386.68835	579.40299	1274.44806	633.92537
SWC-BV-003	3	1	1349.41658	582.19403	1235.16159	634.43284
SWC-BV-003	4	0	1498.89402	590.38806	1335.94019	653.22388
SWC-BV-003	4	1	1406.97377	617.79104	1235.70934	677.58209
SWC-BV-003	5	0	1570.96222	404.46269	1450.16789	456.80597
SWC-BV-003	5	1	1501.95908	415.62687	1371.09129	465.43284
SWC-BV-003	6	0	1462.98006	795.01493	1177.29276	867.62687
SWC-BV-003	6	1	1360.73452	779.02985	1081.59496	843.52239
SWC-BV-003	7	0	1441.18993	678.40299	1293.73033	742.31343
SWC-BV-003	7	1	1366.39454	678.91045	1219.43861	735.71642
SWC-BV-003	8	0	1793.69360	422.59701	1596.38615	488.82090
SWC-BV-003	8	1	1193.56139	449.41791	1022.20672	490.37313
SWC-BV-003	9	0	1340.31469	214.10624	1091.14304	246.30485
SWC-BV-003	9	1	1339.37841	232.00924	1088.33420	267.34873
SWC-BV-003	10	0	1337.50585	175.78753	1099.88166	209.55658
SWC-BV-003	10	1	1347.22627	327.50115	1090.62679	373.12933
SWC-BV-003	11	0	1340.38362	222.38337	1089.21847	256.34411
SWC-BV-003	11	1	1255.49415	278.60508	1002.45644	313.50808
SWC-BV-003	12	0	1340.69571	222.38337	1088.90637	256.03002
SWC-BV-003	12	1	1249.71651	347.41339	1007.69701	384.13395
SWC-BV-003	13	0	1339.78544	222.99076	1088.20806	256.78060
SWC-BV-003	13	1	1089.60208	358.94457	863.46814	392.75289
SWC-BV-003	14	0	1416.00130	272.37413	1176.49155	308.52887
SWC-BV-003	14	1	825.44733	343.50346	632.71651	365.90531
SWC-BV-003	15	0	946.90451	731.41791	705.14166	739.47761
SWC-BV-003	16	0	1487.81532	631.94030	1367.75761	702.77612
SWC-BV-003	16	1	1023.80588	646.56716	893.28017	677.83582
SWC-BV-003	17	0	609.04302	294.28358	572.05456	311.67164
SWC-BV-003	17	1	235.12802	339.14925	187.70514	343.53731
SWC-BV-003	18	0	864.08499	386.31343	708.92025	401.49254
SWC-BV-003	18	1	462.63589	177.35821	355.31375	191.61194
