OpCode	ImagePtPair	FilenameLeft	FrameLeft	FilenameRight	FrameRight	Time	Period	PeriodTime	Length	Precision	RMS	Range	Direction	HorzDir	VertDir	MidX	MidY	MidZ	Family	Genus	Species	Code	Number	Stage	Activity	Comment	Attribute9	Attribute10
SWC-BV-001	1	20241024_BRUV 3_L19_GX010062.MP4	14268	20241024_BRUV 3_R20_GX010078.MP4	14118	7.93459	1	0.79524	113.54476	3.37440	1.27686	2568.44293	5.32928	3.39583	4.90386	-236.77283	29.11056	-2557.34047	Mullidae	Upeneichthys	stotti	37355030	1	AD	Passing			
SWC-BV-001	2	20241024_BRUV 3_L19_GX010062.MP4	14299	20241024_BRUV 3_R20_GX010078.MP4	14149	7.95183	1	0.81248	143.38097	10.17846	1.77821	2062.98326	22.08991	41.65056	7.05326	753.00903	186.69452	-1911.54976	Mullidae	Upeneichthys	vlamingii	37355029	1	AD	Passing			
SWC-BV-001	4	20241024_BRUV 3_L19_GX010062.MP4	26054	20241024_BRUV 3_R20_GX010078.MP4	25904	14.48892	1	7.34956	112.38122	1.55339	1.76846	1415.82093	5.46075	7.36393	7.39387	11.49707	134.24347	-1409.39540	Labridae	Austrolabrus	maculatus	37384025	1	AD	Passing			
SWC-BV-001	5	20241024_BRUV 3_L19_GX010062.MP4	26605	20241024_BRUV 3_R20_GX010078.MP4	26455	14.79534	1	7.65598	89.33259	1.32868	1.71358	1448.41391	4.85853	2.02660	10.19731	-54.18556	-110.05896	-1443.20955	Labridae	Austrolabrus	maculatus	37384025	1	AD	Passing			
SWC-BV-001	7	20241024_BRUV 3_L19_GX010062.MP4	28698	20241024_BRUV 3_R20_GX010078.MP4	28548	15.95928	1	8.81992	63.88458	4.55040	1.61334	1873.75128	22.44154	7.88333	8.59539	640.97325	317.47208	-1731.85122	Pomacentridae	Chromis	klunzingeri	37372044	5	AD	Passing			
SWC-BV-001	8	20241024_BRUV 3_L19_GX010062.MP4	28802	20241024_BRUV 3_R20_GX010078.MP4	28652	16.01711	1	8.87776	75.80667	3.50984	1.65512	1814.24909	22.21766	13.47451	4.56025	346.85761	591.86678	-1679.54853	Pomacentridae	Chromis	klunzingeri	37372044	6	AD	Passing			
SWC-BV-001	10	20241024_BRUV 3_L19_GX010062.MP4	46817	20241024_BRUV 3_R20_GX010078.MP4	46667	26.03545	1	18.89610	67.14228	5.30744	0.55842	1775.28154	28.41607	10.61061	1.45057	833.14200	139.89162	-1561.38697	Serranidae	Caesioperca	sp1		2	AD	Passing			
SWC-BV-001	11	20241024_BRUV 3_L19_GX010062.MP4	46915	20241024_BRUV 3_R20_GX010078.MP4	46765	26.08995	1	18.95060	82.74121	6.14553	1.76476	1878.95241	25.55212	27.70787	27.57817	748.90692	309.79237	-1695.17824	Serranidae	Caesioperca	sp1		1	AD	Passing			
SWC-BV-001	12	20241024_BRUV 3_L19_GX010062.MP4	47230	20241024_BRUV 3_R20_GX010078.MP4	47080	26.26513	1	19.12577	157.70426	11.15987	2.65451	3045.21746	5.64758	23.55477	36.24025	164.71888	250.34861	-3030.43605	Labridae	Pseudolabrus	biserialis	37384149	1	AD	Passing			
SWC-BV-001	13	20241024_BRUV 3_L19_GX010062.MP4	53974	20241024_BRUV 3_R20_GX010078.MP4	53824	30.01554	1	22.87619	296.94088	6.80086	0.16594	1974.23592	18.21011	25.81979	2.45247	-579.48957	-211.71634	-1875.36009	Neosebastidae	Neosebastes	pandus	37287003	1	AD	Passing			
SWC-BV-001	14	20241024_BRUV 3_L19_GX010062.MP4	71758	20241024_BRUV 3_R20_GX010078.MP4	71608	39.90542	1	32.76607	181.66082	5.89411	1.71651	1494.59670	29.66143	60.17241	15.23187	681.21003	288.12375	-1298.75205	Labridae	Coris	auricularis	37384088	4	AD	Passing			
SWC-BV-001	15	20241024_BRUV 3_L19_GX010062.MP4	71807	20241024_BRUV 3_R20_GX010078.MP4	71657	39.93267	1	32.79332	167.08179	3.39687	0.25792	1464.12790	13.93429	33.67292	44.50596	-145.36541	321.21336	-1421.04235	Labridae	Coris	auricularis	37384088	4	AD	Passing			
SWC-BV-001	16	20241024_BRUV 3_L19_GX010062.MP4	71809	20241024_BRUV 3_R20_GX010078.MP4	71659	39.93378	1	32.79443	170.11212	4.57857	4.35997	1524.19879	29.21143	32.44742	17.68900	663.28559	336.72068	-1330.35836	Labridae	Coris	auricularis	37384088	4	AD	Passing			
SWC-BV-001	17	20241024_BRUV 3_L19_GX010062.MP4	71809	20241024_BRUV 3_R20_GX010078.MP4	71659	39.93378	1	32.79443	127.32258	2.12153	2.65249	1370.22864	11.86509	10.57665	2.07052	-281.72226	2.07971	-1340.95294	Labridae	Coris	auricularis	37384088	4	AD	Passing			
